date,site,starttime,endtime,soilmoist1,soilmoist5,starttemp,startlum,startwind-min,startwind-max,startrh-min,startrh-max,endtemp,endlum,endwind-min,endwind-max,endrh-min,endrh-max,round,notes
7/30/2021,Meridian,10:17,10:55,16.4,13.8,,,0,1.3,36.4,41.2,,,0,1.6,31,40.7,,
7/30/2021,Wash 3C,11:46,12:40,14.8,9.5,,,0,2.3,23.1,32.2,,,0,2.3,20.7,25.8,,
8/4/2021,403 Bench,10:19,10:43,22.1,14.7,,,0,4,24,28.5,,,0,1.9,21,33.2,,
8/4/2021,Avery Picnic,12:01,12:26,33.9,24.3,,,0,4.3,35.4,42.4,,,0,2,24.7,33.8,,
8/5/2021,Virginia Basin,9:56,10:19,20.2,20.2,,,0,0.9,25.6,37.6,,,0,0,18.1,26.2,1,
8/5/2021,Virginia Basin,13:24,13:41,20.2,20.2,,,0.5,1.5,19.1,26.6,,,0,1.6,18.6,27.1,2,HOBO was removed between 10:25 and 13:22
6/18/2021,Virginia Basin,11:41,13:00,6.5,8.8,,,0,0.5,18.2,22.8,,,0,1.4,11.9,19,,Soil moisture taken 6/16/21
6/7/2022,Brush Creek Hill,10:00,10:29,9.9,6.2,,,,,,,,,,,,,1,see field notebook for wind and humidity
6/7/2022,Brush Creek Hill,12:00,12:37,9.9,6.2,,,,,,,,,,,,,2,
6/7/2022,Brush Creek Hill,14:00,14:29,9.9,6.2,,,,,,,,,,,,,3,
6/8/2022,Ohio Pass Low,10:00,10:29,11,10.9,,,0,1.6,26.6,33,,,0,0,15.2,17.1,1,
6/8/2022,Ohio Pass Low,12:00,12:39,11,10.9,,,0,1.2,2.3,12,,,0,1.6,0.5,8.4,2,
6/8/2022,Ohio Pass Low,14:00,14:34,11,10.9,,,1,3,8.2,13.4,,,0.3,3.3,7.1,10.8,3,
6/9/2022,Stupid Falls,10:00,10:36,8.3,13.6,,,0,4.2,22.3,32,,,0,4.5,21.5,28.6,1,
6/9/2022,Stupid Falls,12:00,12:33,8.3,13.6,,,0,1.9,17.9,27.7,,,0,5.6,20.6,28.1,2,
6/9/2022,Stupid Falls,14:00,14:31,8.3,13.6,,,2.3,6,20.3,26.5,,,1.9,4.3,24.3,30.3,3,
6/12/2022,Rustlers Gulch,9:55,11:25,19.5,11.4,,,1,5,17.9,24.9,,,0,2.4,12.8,21.6,1,
6/12/2022,Rustlers Gulch,12:10,13:40,19.5,11.4,,,0,1.6,6.2,14,,,1.5,6.8,11,14.9,2,
6/12/2022,Rustlers Gulch,14:25,15:30,19.5,11.4,,,0.6,7,9.2,15.9,,,1,5.6,9.1,14.9,3,
6/13/2022,Gothic Town,10:14,11:00,12.1,15.8,,,0,1.6,14,21,,,0,1.4,9.4,21.2,1,
6/13/2022,Gothic Town,12:01,12:24,12.1,15.8,,,0,3.1,5.4,15.5,,,0.6,4.8,10.9,22.7,2,
6/13/2022,Gothic Town,13:57,14:15,12.1,15.8,,,0,3.5,3.1,10.4,,,1.7,7,8.6,17.4,3,
6/14/2022,Brush Creek Hill,10:03,10:38,5.8,7.5,,,0,3.1,20.2,35.3,,,0.4,8.2,15.7,21.6,1,
6/14/2022,Brush Creek Hill,12:00,12:25,5.8,7.5,,,0.8,10.3,12.7,19.9,,,0.9,6,24,27,2,
6/14/2022,Brush Creek Hill,13:50,14:10,5.8,7.5,,,0,8.1,13.6,19.5,,,2.4,8.2,15.8,21.6,3,
6/15/2022,Stupid Falls,10:25,10:55,8.1,8.8,,,0,4.7,4.1,13.3,,,0.1,4.5,7,13.6,1,
6/15/2022,Stupid Falls,12:00,12:25,8.1,8.8,,,0.4,1.8,2,12.1,,,0.7,5,5,12.2,2,
6/15/2022,Stupid Falls,13:53,14:19,8.1,8.8,,,0,3.1,5,12,,,0,3,10.7,17.3,3,
6/16/2022,Ohio Pass Low,9:55,10:31,9.7,10.3,,,0,0.3,8.1,18.6,,,0.3,1.8,7.3,18.7,1,
6/16/2022,Ohio Pass Low,11:58,12:32,9.7,10.3,,,0.5,1.6,6.4,14.2,,,0,3,2.4,13.4,2,
6/16/2022,Ohio Pass Low,13:55,14:27,9.7,10.3,,,0,1.9,1,10.1,,,0,3.8,2.2,7.4,3,
6/17/2022,Avery Picnic,10:00,10:39,11.2,14.1,,,0,2.3,33.5,50.4,,,0,4.6,32.9,38.3,1,
6/17/2022,Avery Picnic,11:57,12:28,11.2,14.1,,,0,2.9,29.8,41.2,,,0,3.9,22.7,27.33,2,
6/20/2022,Virginia Basin,12:57,14:08,19.5,21.1,,,0,3.1,17.3,27.7,,,0,10.5,10.9,17.9,1,
6/21/2022,Ohio Pass High,10:07,10:52,11.3,15.1,,,0,2,16.4,26.3,,,0,3.3,0.7,5.3,1,
6/21/2022,Ohio Pass High,12:00,12:32,11.3,15.1,,,0,2.7,1.1,5.8,,,0,2.2,4.2,10,2,
6/21/2022,Ohio Pass High,14:00,14:38,11.3,15.1,,,0.5,2.9,3,9.5,,,0,6.7,1.2,12.3,3,
6/21/2022,Kebler Pass,10:00,10:37,30.4,29.2,,,0.8,6.6,14.4,26.6,,,1,2.8,6.8,24.4,1,
6/21/2022,Kebler Pass,12:00,12:33,30.4,29.2,,,0.3,2.2,7,10.2,,,0,3.8,4.5,17.3,2,
6/21/2022,Kebler Pass,13:55,14:25,30.4,29.2,,,0,1.8,5.3,18.9,,,0,5.4,4.6,14.2,3,
6/22/2022,Stupid Falls,9:57,10:24,11.9,10.4,,,0,0.5,24.5,34,,,0,0,13.6,20.4,1,
6/22/2022,Stupid Falls,12:00,12:24,11.9,10.4,,,0,0.8,20.9,27.7,,,0,1.2,16.4,23.1,2,
6/22/2022,Stupid Falls,14:00,14:22,11.9,10.4,,,0,1.2,28,34.7,,,0.6,3.4,29.6,33.2,3,
6/22/2022,Brush Creek Hill,10:08,10:41,8.6,9.3,,,0,1.1,26,30.9,,,0,0,26.4,30.8,1,
6/22/2022,Brush Creek Hill,12:00,12:30,8.6,9.3,,,0,0,19.5,26.3,,,0,1.6,19.9,30.3,2,
6/22/2022,Brush Creek Hill,14:00,14:30,8.6,9.3,,,0,3.3,22.8,26.8,,,1.3,4.8,24,24.9,3,
6/24/2022,Gothic Town,10:00,10:56,7.3,11.9,,,0,1.1,16.5,26.6,,,0,2,28.5,35.6,1,
6/23/2022,Avery Picnic,10:00,10:30,14.2,13.3,,,0,0,57.8,60.9,,,0,2.7,42.2,49.1,1,
6/23/2022,Avery Picnic,11:50,12:16,14.2,13.3,,,0,0,31.7,44,,,0,1.4,19.6,28.8,2,
6/23/2022,Avery Picnic,14:11,14:50,14.2,13.3,,,0.7,3.8,32.7,37.6,,,1.2,5.6,30.7,37,3,
6/24/2022,Ohio Pass Low,11:57,12:27,9.9,13,,,0,3.1,34.6,43.5,,,0,4,11.5,17.8,2,
6/24/2022,Ohio Pass Low,13:56,14:26,9.9,13,,,0.7,2,20,26.9,,,0,1.4,14.7,24.4,3,
6/23/2022,Rustlers Gulch,10:00,10:38,16.3,10.8,,,0,0.3,22.4,27.2,,,0,1.6,22.4,27.2,1,
6/23/2022,Rustlers Gulch,12:03,13:03,16.3,10.8,,,0,1.3,11.2,27.7,,,0,3.6,10.1,14.9,2,
6/23/2022,Rustlers Gulch,14:04,14:53,16.3,10.8,,,0.6,5.2,12.5,23.7,,,1.7,7.2,24,32.6,3,
6/25/2022,Ohio Pass High,10:19,11:18,14,11.2,,,0,1.5,33,46.9,,,0.3,3.1,18,46.9,1,
6/25/2022,Ohio Pass High,12:00,12:59,14,11.2,,,0,2.4,11.8,19,,,0,1.2,12.5,18.7,2,
6/25/2022,Ohio Pass High,14:01,14:56,14,11.2,,,0,2.9,6.2,24.3,,,0,2.9,17.9,23.2,3,
6/27/2022,Virginia Basin,11:00,11:52,19.4,18.9,,,0,1.1,24,32.5,,,0,2,23.9,28.2,1,
6/28/2022,Rustlers Gulch,10:01,10:33,18.1,13.4,,,0,2.1,32.3,41.2,,,1.1,2.1,22.4,29.7,1,
6/28/2022,Rustlers Gulch,12:24,13:26,18.1,13.4,,,0,1.1,13.4,21.3,,,0,4,26.8,31.9,2,
6/29/2022,Stupid Falls,10:02,10:20,15,13.3,,,0,2,34.1,39.2,,,0,2.2,12.9,25.3,1,
6/29/2022,Stupid Falls,11:59,12:24,15,13.3,,,0,2.2,21.2,31.8,,,0.3,2.3,18.6,30.6,2,
6/29/2022,Stupid Falls,14:02,14:19,15,13.3,,,0,3.3,16.8,32.7,,,0,1.5,16.4,24.3,3,
7/1/2022,Gothic Town,9:52,12:12,8.7,23.5,,,,,,,,,,,,,1,
7/1/2022,Kebler Pass,9:42,10:16,34.2,24.2,,,0.3,2,33.1,43.6,,,0,1.7,32.1,43.5,1,
7/1/2022,Kebler Pass,11:30,12:00,34.2,24.2,,,0.4,4.1,30.8,44.3,,,0,3.6,38.1,44,2,
7/1/2022,Avery Picnic,10:34,13:42,19.5,15.3,,,0,1.2,42.3,51.5,,,0.3,1.8,34,37.6,1,
7/2/2022,Ohio Pass High,10:16,11:20,10.4,14.6,,,0,1.5,14.4,18.9,,,0,1.2,19.3,23.8,1,Wind speed accidentally taken in kph. Values have been converted to m/s
7/2/2022,Ohio Pass High,12:00,13:06,10.4,14.6,,,0.1,1.5,11.1,15.7,,,0,0.8,19.2,23.6,2,Wind speed accidentally taken in kph. Values have been converted to m/s
7/2/2022,Ohio Pass High,13:50,14:55,10.4,14.6,,,0,0,12.3,17.6,,,0,0.5,17.3,20.3,3,Wind speed accidentally taken in kph. Values have been converted to m/s
7/5/2022,Brush Creek Hill,10:24,11:03,7.8,13.6,,,0,0.8,15.5,27.6,,,0,1.2,16.3,22,1,
7/5/2022,Brush Creek Hill,12:00,12:37,7.8,13.6,,,0,1.3,19.8,27,,,0.5,3,21.4,30.6,2,
7/5/2022,Ohio Pass Low,10:00,10:40,16.5,13.9,,,0,1.4,40.3,51.6,,,0,1.6,45.1,49.1,1,
7/5/2022,Ohio Pass Low,12:05,12:28,16.5,13.9,,,0,0,53.6,57.3,,,0,0,50,52.7,2,
7/6/2022,Gothic Town,9:50,11:48,12.1,19.9,,,0,1.5,40.7,62.3,,,0,0.3,32.9,46,1,
7/6/2022,Avery Picnic,10:48,12:12,20.4,15,,,0,0.4,54.6,62.2,,,0,0.3,23.2,37.2,1,
7/7/2022,Stupid Falls,9:58,10:23,17.2,18,,,0,1.1,35.8,51.9,,,0,1.3,11.5,26,1,
7/7/2022,Stupid Falls,11:59,12:22,17.2,18,,,0,2.1,13.7,26,,,0,2.3,10.6,17.7,2,
7/7/2022,Stupid Falls,13:57,14:20,17.2,18,,,1.2,6.5,25.3,32.8,,,0,5,18.5,27.4,3,
7/7/2022,Kebler Pass,10:05,10:46,27.5,34.7,,,0,1.7,41.7,48.9,,,0,1,28.9,37.3,1,
7/7/2022,Kebler Pass,11:55,12:40,27.5,34.7,,,0,2.9,15.3,28.9,,,0,2.3,28.5,36.4,2,
7/7/2022,Kebler Pass,14:00,14:36,27.5,34.7,,,0.4,1.6,29.9,42.7,,,1.3,4.3,26.3,25.8,3,
7/8/2022,Virginia Basin,11:00,13:06,16.5,18.4,,,0,2.4,16.7,22.3,,,0,1.7,19.4,26.4,1,
7/8/2022,Rustlers Gulch,10:00,10:34,25,17.9,,,0,1.5,35.3,40.5,,,0.3,3.4,30.8,44.6,1,
7/8/2022,Rustlers Gulch,11:56,12:55,25,17.9,,,0,3.5,12,14,,,0,2,7.7,21.8,2,
7/8/2022,Rustlers Gulch,13:58,14:35,25,17.9,,,0.6,4.8,8.4,22.3,,,0,1.1,7.5,13.2,3,
7/11/2022,Ohio Pass Low,10:04,10:49,15.4,14.5,,,0,1.2,35,43.6,,,0,2.1,17,28.5,1,
7/11/2022,Ohio Pass Low,12:02,12:41,15.4,14.5,,,0.9,3.9,23.3,37.4,,,0.1,4.2,15.6,26.3,2,
7/11/2022,Ohio Pass Low,14:04,14:39,15.4,14.5,,,0.6,2.6,14.4,36.9,,,0,1.4,12.3,24.7,3,
7/11/2022,Ohio Pass High,10:00,10:50,3.6,6.2,,,0,1.8,38.3,52.6,,,0,1.2,19.6,36,1,
7/11/2022,Ohio Pass High,12:00,12:47,3.6,6.2,,,0,1,14.3,29,,,0.3,3.7,18.9,25.4,2,
7/11/2022,Ohio Pass High,14:04,14:51,3.6,6.2,,,0,1.5,15,30.8,,,0,4.6,13.3,25,3,
7/12/2022,Gothic Town,10:22,12:45,11.5,15.4,,,0,1.6,15.9,23.3,,,0,2.3,8,18.8,1,
7/12/2022,Brush Creek Hill,10:07,10:30,8.9,7.6,,,0,2.9,41.2,63.3,,,0.9,3.4,35.9,41.8,1,
7/12/2022,Brush Creek Hill,12:00,12:28,8.9,7.6,,,0,0,4.1,18.5,,,0.5,3.9,19.2,23.2,2,
7/12/2022,Brush Creek Hill,13:58,14:20,8.9,7.6,,,0,3.4,11.3,29.3,,,1.4,5.2,22.4,26.8,3,
7/13/2022,Virginia Basin,11:37,14:02,10.1,10.5,,,0,3.8,35.4,44.7,,,0,1,22.7,28,1,
7/13/2022,Rustlers Gulch,10:00,10:27,21.1,14.9,,,1.2,3,34.3,52.1,,,1.4,4.7,28.6,48.1,1,
7/13/2022,Rustlers Gulch,12:00,12:34,21.1,14.9,,,0.7,3.1,29.5,35.7,,,0,0.6,23.8,40.1,2,
7/13/2022,Rustlers Gulch,14:00,14:30,21.1,14.9,,,1.5,5,25.7,32.3,,,0.5,4.8,27.6,33.4,3,
7/14/2022,Avery Picnic,10:23,12:12,12.7,9.9,,,0,2.1,44.9,54.3,,,0,1.8,20.5,42.8,1,
7/14/2022,Stupid Falls,10:02,10:25,6.6,9.7,,,0,1.7,42.5,58.4,,,0,1.7,28.3,42,1,
7/14/2022,Stupid Falls,11:58,12:44,6.6,9.7,,,0,0.9,17.2,31.6,,,0,1,11.4,16.7,2,
7/14/2022,Stupid Falls,14:04,14:38,6.6,9.7,,,0,3.6,12.9,20.9,,,0,1.4,17.3,25.5,3,
7/18/2022,Gothic Town,10:25,13:41,10.9,17,,,0,1.6,23,35.2,,,0,2.6,15.7,26.1,1,
7/18/2022,Kebler Pass,10:00,10:39,19,15.7,,,1.1,3.5,25.7,38.7,,,0,5.3,19,26.7,1,
7/18/2022,Kebler Pass,12:00,12:38,19,15.7,,,0,2.2,15.2,24.9,,,0,2.7,10.4,17.2,2,
7/18/2022,Kebler Pass,14:00,14:35,19,15.7,,,1.2,4,10.1,19.1,,,0.4,3.8,17.4,22.4,3,
7/19/2022,Virginia Basin,11:33,13:50,11.4,10.9,,,0,1.8,36.3,40.2,,,0,1.5,23.9,33.6,1,
7/20/2022,Ohio Pass High,10:00,10:52,10.4,5,,,0,2,26.2,36.6,,,0,4.3,20.6,24.7,1,
7/20/2022,Ohio Pass High,12:00,12:55,10.4,5,,,0,1.5,19.7,34.9,,,0,4.3,20.6,34.1,2,
7/20/2022,Ohio Pass High,14:00,14:48,10.4,5,,,0,2.4,12.7,18.4,,,0.3,4.6,17.2,22.5,3,
7/20/2022,Ohio Pass Low,10:08,11:22,15.2,14.3,,,0.3,1.9,23.2,37.5,,,0,1.6,21.8,31.6,1,
7/20/2022,Ohio Pass Low,12:22,13:22,15.2,14.3,,,0,1.3,16.7,28.1,,,0,1.6,15.3,30.8,2,
7/21/2022,Avery Picnic,10:30,12:42,13.2,11.3,,,0,2.3,38.6,50.7,,,0,3.2,23,35.8,1,
7/22/2022,Rustlers Gulch,10:00,10:39,11.5,7.6,,,0.3,2,26.4,38.1,,,0.5,3.2,22.2,27.4,1,
7/22/2022,Rustlers Gulch,12:00,12:37,11.5,7.6,,,0,0.3,17,23.3,,,0,1,7.7,13.6,2,
7/22/2022,Rustlers Gulch,14:00,14:39,11.5,7.6,,,0,2.6,12.6,21.2,,,3.1,7.7,13.4,27.6,3,
7/22/2022,Stupid Falls,10:11,10:38,4.9,10,,,0,0.3,21.2,35.5,,,0,3.4,16.7,32,1,
7/22/2022,Stupid Falls,12:01,12:41,4.9,10,,,0.3,1.9,11.1,20.4,,,0.8,4.8,17.4,22.9,2,
7/22/2022,Stupid Falls,14:10,14:34,4.9,10,,,0,2.7,13.5,20,,,0.5,3.5,15.9,22.3,3,
7/23/2022,Brush Creek Hill,10:10,11:23,7,7.9,,,0,1,8.8,12.3,,,0,1.3,6.8,9.5,1,
7/23/2022,Brush Creek Hill,12:05,13:05,7,7.9,,,0,2,20.9,29.6,,,1.6,4.5,6.2,9.9,2,
7/23/2022,Brush Creek Hill,13:55,14:50,7,7.9,,,0,1.1,3.8,7.2,,,0.8,3.2,11.9,16.9,3,
7/25/2022,Kebler Pass,10:00,10:32,23.4,17.6,,,0,3.5,38.7,42.9,,,0,2.2,46.1,50.6,1,
7/25/2022,Kebler Pass,11:58,12:39,23.4,17.6,,,0,1.7,47.4,51.6,,,0,1.2,34.7,40,2,
7/25/2022,Kebler Pass,14:00,14:48,23.4,17.6,,,0,1.9,42.1,51.5,,,0,4.4,15.7,21.4,3,
7/25/2022,Gothic Town,10:50,12:47,11.7,12.4,,,0,1.4,43.1,49.1,,,0,0.5,32.4,36.3,1,
7/26/2022,Stupid Falls,10:00,10:38,7.1,10.2,,,0,1.3,33,42.9,,,0,1.6,24.7,37.9,1,
7/26/2022,Stupid Falls,12:00,12:44,7.1,10.2,,,0,0,15.1,32,,,0,0,39.3,44.8,2,
7/26/2022,Ohio Pass High,10:13,10:58,7.4,6.4,,,0,1.4,35.2,44.4,,,0,1,13.7,21,1,
7/26/2022,Ohio Pass High,11:55,12:40,7.4,6.4,,,0,0,18.4,23.3,,,1,2.4,16.4,30.8,2,
7/26/2022,Ohio Pass High,13:46,14:26,7.4,6.4,,,0.4,2.6,8.1,13.9,,,0,2.1,28.6,34.3,3,
7/27/2022,Virginia Basin,11:43,14:38,11.7,7.4,,,0,0,43,48.1,,,0,1.4,7.8,16.3,1,
8/1/2022,Avery Picnic,10:21,12:29,14.7,15.5,,,0,2.3,57.8,64.6,,,0,0.6,54.3,64.8,1,
8/1/2022,Rustlers Gulch,10:01,10:42,13.7,10.4,,,0.7,2.1,38.8,47.8,,,1,2.2,24.8,33.6,1,
8/1/2022,Rustlers Gulch,12:05,12:43,13.7,10.4,,,0,1.3,17.4,24.6,,,0,0.4,30,35.8,2,
8/1/2022,Rustlers Gulch,13:53,14:33,13.7,10.4,,,0,1.4,31.3,40.7,,,0,1,29.8,34.8,3,
8/2/2022,Virginia Basin,10:35,11:58,14.5,10.4,,,0,1.2,32.4,42.9,,,,,,,1,Rained out so no end conditions
8/3/2022,Ohio Pass High,12:00,12:40,10.2,7.6,,,0,2.3,13.8,25.5,,,0.6,4.4,14.4,27.8,2,
8/3/2022,Ohio Pass High,13:53,14:32,10.2,7.6,,,0,0.3,19.1,26.3,,,0,1.3,24.4,30.8,3,
8/3/2022,Kebler Pass,10:10,11:20,23.6,29.2,,,0,3.7,42,57.2,,,0,3.3,27.7,43.7,1,
8/3/2022,Kebler Pass,11:56,12:53,23.6,29.2,,,0,0.9,20.8,29.4,,,0.4,4.2,20.8,31.7,2,
8/3/2022,Kebler Pass,13:55,14:42,23.6,29.2,,,0,2.1,26.7,33.1,,,0,2.8,15.5,23.6,3,
8/3/2022,Brush Creek Hill,10:10,10:45,,,,,0,0,33.7,38.8,,,0,1.1,11.7,15.1,1,
8/4/2022,Ohio Pass Low,10:20,10:53,17.6,16.6,,,0,1.6,47.1,58.6,,,0,1.8,38.4,41.3,1,
8/4/2022,Ohio Pass Low,12:01,12:22,17.6,16.6,,,0,3,24.4,41.3,,,0,0.9,16.4,22.8,2,
8/4/2022,Ohio Pass Low,13:59,14:23,17.6,16.6,,,0,1.3,19.1,33.1,,,0,1.4,16.7,22.5,3,
8/5/2022,Avery Picnic,10:02,11:39,21.3,17.4,,,0,1.9,51.5,57.1,,,0,0.3,44.6,53,1,
8/8/2022,Gothic Town,10:00,10:56,18.6,11.9,,,0,1,11.9,19.7,,,0,2.1,11.1,15.3,1,
8/8/2022,Ohio Pass Low,10:01,10:34,12.3,11.1,,,0,1.8,36.6,50.2,,,0,2.3,32.7,37.2,1,
8/8/2022,Ohio Pass Low,12:01,12:33,12.3,11.1,,,0,1,22.4,34.8,,,0,2.2,12,23.3,2,
8/8/2022,Ohio Pass Low,14:01,14:36,12.3,11.1,,,0,1.7,12,26.4,,,0,1.3,14.2,21.7,3,
8/9/2022,Virginia Basin,10:21,12:19,8.5,11.1,,,0.3,1.7,31.8,34.2,,,0,1.6,14.9,28.1,1,
8/10/2022,Kebler Pass,10:08,10:58,17.1,19.4,,,0,1.6,25,33,,,1,2.2,20.3,23.4,1,
8/10/2022,Kebler Pass,12:02,12:52,17.1,19.4,,,1.1,3.1,14.4,17.6,,,0,1.6,13.8,20.8,2,
8/10/2022,Kebler Pass,13:45,14:33,17.1,19.4,,,0,0.1,10.1,12.4,,,1.4,5.5,20.4,22.8,3,
8/10/2022,Rustlers Gulch,10:00,11:02,,,,,1.1,2.8,37,45.7,,,0.3,1.7,31.6,34.7,1,
8/10/2022,Rustlers Gulch,12:00,12:39,,,,,0,0,17.7,28.7,,,0,1.4,18.4,27.2,2,
8/10/2022,Rustlers Gulch,13:55,14:58,,,,,0,0,21.1,25.5,,,0,1.9,28.9,40.1,3,
6/12/2023,Avery Picnic,10:55,11:30,,,,,,,,,,,,,,,,Network sampling (not part of gradients project); nothing caught; 'control' round to pair with Annie Colgan's manipulation rounds
6/14/2023,Gothic Town,10:33,11:05,,,,,,,,,,,,,,,1,cloudy
6/14/2023,Gothic Town,12:30,13:00,,,,,,,,,,,,,,,2,
